,name,twitter,party,tweet,tweet_published
10,Susan M. Collins,SenatorCollins,Republican,"At a Senate Health Committee hearing this morning, I will question Dr. Fauci &amp; other public health officials about the federal government’s ongoing COVID-19 response &amp; efforts to help states safely reopen our communities &amp; schools. Click here to watch: ",2020-06-30
11,Susan M. Collins,SenatorCollins,Republican,"I questioned Dr. Fauci about pool testing, an efficient, cost-effective way to help communities safely reopen. This strategy could help schools identify the presence of COVID-19 &amp; protect students, teachers, staff, &amp; other employees. ",2020-07-01
12,John Cornyn,JohnCornyn,Republican,"ANTHONY FAUCI ON REMDESIVIR in the Oval: The drug has a ""clear-cut, significant positive effect in diminishing the time to recover. ... We think it's really opening the door to the fact that we now have the capability of treating."" @playbookplus",2020-04-29
13,John Cornyn,JohnCornyn,Republican,"Dr. Anthony Fauci, director of the National Institute of Allergy and Infectious Diseases, was the latest voice to weigh in, ",2020-04-06
14,John Cornyn,JohnCornyn,Republican,Fauci gives reassurance on school reopenings ,2020-06-05
15,John Cornyn,JohnCornyn,Republican,National Institute of Allergy and Infectious Diseases Director Anthony Fauci said the U.S. now churns through about 1.5 million to 2 million tests a week. @politico,2020-04-26
16,John Cornyn,JohnCornyn,Republican,"Fauci: ""The Emphasis Weve Been Hearing Is Essentially Testing Is Everything, And It Isnt"" ",2020-04-20
17,Richard J. Durbin,SenatorDurbin,Democrat,"Thanks, Dr. Tony. I’ve known Dr. Fauci for twenty years. A true professional. His thoughtful answers reflect intelligence, dignity, and credibility. Qualities needed now more than ever at the highest levels of our government. ",2020-04-16
18,Richard J. Durbin,SenatorDurbin,Democrat,"Spoke with Dr. Fauci today to get an update on coronavirus. I’m grateful to @NIH for doing everything within its ability to better understand, respond, and treat this virus and public health challenge.",2020-03-09
19,Richard J. Durbin,SenatorDurbin,Democrat,Why does this President continue to cast doubts about Dr. Fauci? America trusts Dr. Fauci. President Trump should as well.,2020-04-23
20,Mitch McConnell,McConnellPress,Republican,"Our nation is continuing to confront the public health challenge posed by the new coronavirus. Right now, as Dr. Anthony Fauci of the National Institutes of Health reminds us, the risk that any individual American will contract the disease currently remains low.",2020-03-09
21,Jack Reed,SenJackReed,Democrat,"I’m disturbed by reports the White House is muzzling Dr. Fauci, a top @NIAIDNews disease expert. This is a time for expertise and real information. The Trump Admin should allow experts to speak out, speak for science &amp; a plan that will help protect the American people. #COVID19",2020-02-27
22,Pat Roberts,SenPatRoberts,Republican,I appreciated the opportunity to hear from @stevenmnuchin1 and Dr. Anthony Fauci today and receive an update on their continued efforts to combat the coronavirus.,2020-04-02
23,Christopher A. Coons,ChrisCoons,Democrat,"This is dangerous and disturbing. Now more than ever, the president needs to listen to and follow advice from Dr. Fauci and public health experts. Americans are dying by the tens of thousands. ",2020-07-10
24,Christopher A. Coons,ChrisCoons,Democrat,Dr. Fauci &amp; other health officials warn that a 2nd wave of #COVID19 is likely this fall. The growing links between the Wisconsin election &amp; new COVID-19 cases reminds us that we need to fund #votebymail &amp; #earlyvoting to ensure voters are safe in November,2020-04-23
25,"Joe Manchin, III",Sen_JoeManchin,Democrat,"WATCH: We must listen to trusted medical professionals like Dr. Anthony Fauci and heed their lifesaving recommendations and warnings. If they say we need to stay at home, we need to stay at home. We can bring back our economy, but we can’t bring back a human life. ",2020-03-24
26,"Joe Manchin, III",Sen_JoeManchin,Democrat,"WATCH: It is more important than ever that we continue to follow the CDC’s guidelines, including wearing a facemask in public and maintaining 6 feet of social distancing. Dr. Anthony Fauci says wearing a mask doesn’t just protect you – it protects our most vulnerable people. ",2020-06-27
27,"Joe Manchin, III",Sen_JoeManchin,Democrat,"THREAD: Today I spoke w/ Dr. Anthony Fauci of @NIH, a trusted medical expert on #COVID19. Based on our conversation, I'm sharing the following specific social distancing &amp; safety recommendations every West Virginian should be implementing to slow the spread of COVID-19.",2020-03-22
28,Tammy Baldwin,SenatorBaldwin,Democrat,"Thanks to Dr. Fauci for delivering the American people the truth. The HHS Inspector General must investigate President Trump’s promotion of hydroxychloroquine. Why has @POTUS pushed a drug that is not approved to treat COVID-19, and has been proven not to work?",2020-05-27
29,Tammy Baldwin,SenatorBaldwin,Democrat,It’s May 12th and President Trump still doesn’t have a national testing plan for the country. Today I’m looking forward to talking to Dr. Fauci and others working on our response to COVID-19 because I want to know #WhereAreTheTests? Watch:,2020-05-12
30,Michael F. Bennet,SenatorBennet,Democrat,Testing and contact tracing can save lives and help us reopen the economy safely. Maybe the president should spend more time talking to Dr. Fauci and Dr. Birx and less time getting in their way. ,2020-06-22
31,Gus M. Bilirakis,RepGusBilirakis,Republican,NIH & pharmaceutical companies are working on a Coronavirus vaccine. Dr. Fauci of the CDC indicated that he anticipates at least 1 vaccine being ready for human testing in roughly 4 weeks. I will continue to monitor developments and will keep you updated. ,2020-03-13
32,Roy Blunt,RoyBlunt,Republican,Secretary Azar and I have been working closely with Dr. Redfield since he took over at CDC. Dr. Fauci has long been one of our national treasures at NIH.,2020-03-27
33,Roy Blunt,RoyBlunt,Republican,"Missourians are appreciating President Trump’s daily proactive leadership in the #coronavirus crisis, and the support he’s getting from Vice President Pence and our great healthcare professionals -- Dr. Fauci, Dr. Birx, Dr. Redfield and others -- is making a real difference.",2020-03-27
34,Kevin Brady,RepKevinBrady,Republican,"FAUCI: VACCINE MAY BE READY BY END OF YEAR Believes 'a good chance' COVID-19 vaccine may be ready for deployment in U.S. by Nov-Dec. #Trump administration accelerating research/process. Means vaccine available sooner than normal process, but still upholds safety/science.",2020-05-27
35,Michael C. Burgess,MichaelCBurgess,Republican,"Thank you @VP Pence for coming and speaking with @HouseGOP about the efforts to prevent the spread of the #Coronavirus. I appreciated hearing from @PhRMA, @NIAIDNews Dr. Fauci, and other innovators about vaccine and therapeutic development.",2020-03-04
36,Michael C. Burgess,MichaelCBurgess,Republican,"I appreciate the leadership of @NIAIDNews Dr. Fauci, Dr. Birx, @senatemajldr @GOPLeader @SteveScalise @RepLizCheney @RepKevinBrady and @repgregwalden for tirelessly working to ensure phrase III focused on stopping coronavirus rather than a partisan agenda.",2020-03-27
37,Michael C. Burgess,MichaelCBurgess,Republican,"As @NIAIDNews Dr. Fauci said this morning, “the aggressive approach that we are currently taking will hopefully not only flatten [the curve]... but also diminish its duration.”",2020-03-15
38,Michael C. Burgess,MichaelCBurgess,Republican,". @HHSGov, @CDCgov, @NIH and @NIAIDNews are working together to prevent the spread of the #coronarvirus. Thank you @SecAzar, @NIHDirector, @CDCDirector, @DrNancyM_CDC and @NIAIDNews Director Dr. Fauci for your coordinated leadership in addressing this public health issue. ",2020-01-28
39,Michael C. Burgess,MichaelCBurgess,Republican,"#ICYMI I joined @FoxFriendsFirst to discuss the 2019 novel #coronarvirus. I am able to closely monitor this situation, thanks to the diligent work of @CDCgov, @NIAIDNews Director Dr. Fauci, and @PHEgov.",2020-01-30
40,Michael C. Burgess,MichaelCBurgess,Republican,"Encouraging findings on #Covid19 outcomes shared by Dr. Fauci today. Hard work by task force, @NIAIDNews and @US_FDA beginning to show success. This is great news for America and the world.",2020-04-29
41,André Carson,RepAndreCarson,Democrat,"I want to give a big thanks to Dr. Anthony Fauci, who participated in a call today with my colleagues and I in the @NewDemCoalition. He provided invaluable insight that will improve our efforts to help prevent the spread of #COVID19 and safely reopen our economy.",2020-05-20
42,Bill Cassidy,SenBillCassidy,Republican,Looking forward to questioning Dr. Fauci and our nation's top public health officials at today's @GOPHELP hearing on the ongoing #COVID19 response. We must have a plan to get back to work and back to school safely.,2020-06-30
43,Bill Cassidy,SenBillCassidy,Republican,"The economy must reopen and our students must return to school this fall. Students are missing prime development time and significant life milestones, like graduation. I asked Dr. Fauci, @CDCDirector and @SteveFDA about their plan to safely reopen classrooms.",2020-05-12
44,Kathy Castor,USRepKCastor,Democrat," What would you ask Dr. Fauci, CDC and FDA leaders about #COVID19, #Tampa neighbors?",2020-06-23
45,Kathy Castor,USRepKCastor,Democrat,"It’s vital that Floridians listen to public health experts like Dr. Fauci re soaring #covid19 infections: “Despite the guidelines and the recommendations to open up carefully and prudently, some states skipped over those and just opened up too quickly ...”",2020-07-11
46,Kathy Castor,USRepKCastor,Democrat,I’m on a conference call with Dr. Anthony Fauci. He advises that #covid19 mitigation activities are having a real effect and that we must redouble our efforts to continue especially through April 30. “We will get through it”.,2020-04-08
47,Kathy Castor,USRepKCastor,Democrat,"Dr. Fauci advises that people who are infected likely develop antibodies, but it is unclear how long protection lasts. #covid19",2020-06-23
48,Kathy Castor,USRepKCastor,Democrat,The president’s failure to listen to scientists and public health experts on #COVID19 has cost lives. Listen to Dr. Fauci provide advice to Florida on important public health measures during my @EnergyCommerce committee questioning. If only the president would listen too.,2020-06-23
49,Judy Chu,RepJudyChu,Democrat,"That's GREAT! If that's the case, you'll apologize for defending calling it the ""Chinese virus"" - something Dr. Fauci said he would ""never"" do, as have all healthcare professionals. Arguing otherwise is ""political punditry"" https://twitter.com/thehill/status/1240424562044669960",2020-03-23
50,Judy Chu,RepJudyChu,Democrat,"Every public health official, including Dr. Fauci, agrees. Calling it the ""Chinese virus"" is bad for public health. https://www.sciencemag.org/news/2020/03/i-m-going-keep-pushing-anthony-fauci-tries-make-white-house-listen-facts-pandemic",2020-03-23
51,Emanuel Cleaver,RepCleaver,Democrat,"We need to hear the truth about the challenges our nation faces in the coming months. Simply wishing away the virus will not keep American families safe and businesses thriving. Thank you, Dr. Fauci, for speaking the truth so we can take appropriate action to beat this virus. ",2020-05-12
52,Emanuel Cleaver,RepCleaver,Democrat,"This is not a time to panic, but this is no hoax either. We have a serious public health crisis, and we should be treating it with the seriousness and focus it deserves. Thanks to Dr. Fauci for being honest with the American people. ",2020-03-11
53,Steve Cohen,RepCohen,Democrat,"Auto correct changed Luca Brasi to Brazil. He is Luca-like.He shook hands( a no,no)as he looked at solar eclipse. It’s Dr. Fauci not Tony. As Pence shares &amp; gives credit to Prez he looks surprised at what “he did”.As we change rules &amp; regs we’ll change Presidents too!",2020-03-13
54,Steve Cohen,RepCohen,Democrat,"And the other two leaders instilling confidence and providing leadership are, ironically considering plight of #Italy, are Italian-Americans @SpeakerPelosi and Dr. Anthony #Fauci . Bellissimo #NancyPelosi #AndrewCuomo #AnthonyFauci",2020-03-19
55,Steve Cohen,RepCohen,Democrat,"The Dem. #House caucus had a conference call w V President #Pence,Dr. #Fauci,Dr. #Birx and pretty much the rest of the team except for the president. The call was professional,respectful,and helpful. They need that lineup at the 5 o’clock briefings &amp; #Americans will feel better.",2020-04-08
56,Steve Cohen,RepCohen,Democrat,I will support the payment of fixed amount to every American adult. Being that the neediest get same as wealthiest is good economics and morally appropriate. The leadership of @SpeakerPelosi and #Democrats house and Senate and @MittRomney are what is working in DC. Dr. Fauci too,2020-03-17
57,Steve Cohen,RepCohen,Democrat,#Trump doesn’t care about anyone but himself. #Fauci says you wear mask so as not to infect other(s) if you are asymptotic. But Trump cavalierly dismisses it’s use because caring out for others not in his quiver.#TrumpPressBriefing #masksforall,2020-04-04
58,Gerald E. Connolly,GerryConnolly,Democrat,"At hearing on Coronavirus Dr. Fauci of NIH testifies: “bottom line, things will get worse. “",2020-03-11
59,Gerald E. Connolly,GerryConnolly,Democrat,"As the president continues his shameful war on public servants, @PeterWelch, @RepStephenLynch and I introduced a bill to shield critical public health officials, like Dr. Fauci, from his ire. No one should be fired for speaking scientific truth to power. ",2020-05-28
60,Jim Cooper,RepJimCooper,Democrat,Natl. Institute of Allergy & Infectious Diseases Director Dr. Fauci frequently talks about “flattening the curve” when it comes to the spread of coronavirus. I’m in Washington preparing to vote on funding to help combat the the spread of the virus. ,2020-03-13
61,Jim Cooper,RepJimCooper,Democrat,ICYMI: @NIHDirector Dr. Francis Collins &amp; @NIAIDNews Director Dr. Anthony Fauci gave a research update on #COVID19 and answered some important questions. Watch here:,2020-07-06
62,Diana DeGette,RepDianaDeGette,Democrat,"I've worked with Dr. Fauci for many years. He’s one of our nation’s top health experts who’s served several administrations. If the WH is muzzling our public health officials &amp; preventing them from telling the truth, they must be held accountable as they're putting lives at risk. ",2020-02-27
63,Diana DeGette,RepDianaDeGette,Democrat,"The Trump admin is failing to take this pandemic seriously and it's the American people who are paying the price. Tomorrow, we'll be holding an important hearing to hear directly from Dr. Fauci &amp; other top U.S. health officials on what needs to be done to protect public health.",2020-06-23
64,Diana DeGette,RepDianaDeGette,Democrat,About to hear directly from some of our nation’s top public health officials about what’s being done to slow the spread of COVID-19. We'll hear from: Dr. Anthony Fauci FDA Commissioner Stephen Hahn CDC Director Robert Redfield Assistant Secretary for Health Brett Giroir ,2020-06-23
65,Theodore E. Deutch,RepTedDeutch,Democrat,Don’t take my word for it. Listen to Dr. Fauci explain why we can’t be complacent. ,2020-07-08
66,Theodore E. Deutch,RepTedDeutch,Democrat,"Dr. Fauci’s hindsight is interesting. Maybe helpful. But the thing is, our local public health officials said reopening was too soon &amp; too fast IN APRIL. They weren’t listened to. Now we have to fix it. ",2020-07-10
67,Theodore E. Deutch,RepTedDeutch,Democrat,"Dr. Fauci confirmed that he believes the official COVID-19 death tally is undercounted. There may be good reasons for the way FL is tracking the epidemic in our state, but we need answers. The public deserves an honest picture of the virus in FL. (2/2) ",2020-05-13
68,Theodore E. Deutch,RepTedDeutch,Democrat,".@SenateHELP hearing on reopening is proof Congress can work from a safe distance. Chair Alexander, Ranking Member Murray, Dr. Fauci, Dr. Redfield &amp; others joined via video. The House must move forward w/ all official business, using available technology, as soon as possible. ",2020-05-13
69,Theodore E. Deutch,RepTedDeutch,Democrat,"On @MeetThePress Dir Fauci says the testing situation will change dramatically soon. I greatly respect his work, but I do not agree. FL is following CDC guidance. CDC guidance is severely restricting testing.",2020-03-15
70,Theodore E. Deutch,RepTedDeutch,Democrat,Tonight’s coronavirus briefing included helpful info from CDC Dep Dir Schuchat & clear expectations from NIAID Dir Fauci. Unfortunately Trump added a rambling &amp; confused status update &amp; downplayed the threat. We need clarity and transparency to prepare.,2020-02-27
71,Lloyd Doggett,RepLloydDoggett,Democrat,"What today’s headlines tell us: “Texas Coronavirus cases top 1,000 for fifth day” “Fauci warns more death, economic damage if US opens too fast” “Paxton: Ease stay-home orders” As infection threat grows, our indicted AG &amp; Gov Abbott impede local efforts to protect our safety.",2020-05-13
72,Lloyd Doggett,RepLloydDoggett,Democrat,Dr. Fauci or “Dr.” Dan—Take your pick. Lt. Gov. Dan Patrick continues to ignore medical science in favor of his “older Texans are expendable” approach. Dr. Dan diagnoses seniors with a terminal case of “too bad for you.” ,2020-07-02
73,Michael F. Doyle,USRepMikeDoyle,Democrat,"I will ask witnesses like Dr. Fauci about the Trump Administration’s failures to procure #PPE for our nation’s healthcare workers, first responders, and frontline workers - and I will demand to know what the Administration will do going forward to ensure we have enough PPE.",2020-06-23
74,Eliot L. Engel,RepEliotEngel,Democrat,"Coronavirus, now known as COVID-19, is spreading across the globe at an alarming rate, including 13 cases in the US. To help prepare, I moderated a briefing with federal health officials including Dr. Tony Fauci, and Members of Congress about our prevention and response strategy. ",2020-02-12
75,Eliot L. Engel,RepEliotEngel,Democrat,"Once again, the Trump Administration is taking a premature victory lap by considering disbanding the coronavirus task force despite the fact that cases continue to increase in some parts of the country. And nice of them to tell Dr. Fauci. ",2020-05-06
76,Jeff Fortenberry,JeffFortenberry,Republican,"Just finished a call with Vice President Pence, Dr. Fauci, Dr. Birx, and Treasury Secretary Mnuchin. A hint of good news: in the early crisis states of #California and #Washington, social distancing is working. #coronavirus",2020-04-08
77,Paul A. Gosar,RepGosar,Republican,Dr. Anthony Fauci and Dr. Deborah Birx are invaluable members of the Wuhan #coronavirus task force. America will get though this together!,2020-03-17
78,Paul A. Gosar,RepGosar,Republican,“We can’t do this without the young people cooperating...please cooperate.” -Dr. Anthony Fauci ,2020-03-17
79,Paul A. Gosar,RepGosar,Republican,"Dr. Anthony Fauci told CBS: ""That's not true, I've been in every task force meeting, and that's not what they are doing."" ",2020-05-05
80,Chuck Grassley,ChuckGrassley,Republican,gr8 to hear Dr Fauci emphasize the good job Gov Reynolds is doing @realDonaldTrump daily news conf He said what Iowa is doing is totally compatible w what everyone else is doing/functionally equivalent to other states,2020-04-06
81,Chuck Grassley,ChuckGrassley,Republican,"I attended a briefing this morning on coronavirus Dr Fauci from NIH gave an update on risk factors Low risk for ppl under 60, higher risk for elderly &amp; those w other health problems Our health officials say US is best prepared for what can come up more than any other country",2020-03-05
82,Al Green,RepAlGreen,Democrat,"To whom it may concern, Decisions about going back to business as usual during a pandemic should be medical NOT political. We should rely on Dr. Fauci‘s medical expertise regarding #COVID19 NOT President Trump’s political whims. #NotDying4WallStreet",2020-03-24
83,H. Morgan Griffith,RepMGriffith,Republican,"ICYMI: ""Griffith asked Fauci at an Energy and Commerce Committee meeting last week about his views on localizing plans to reopen schools."" ",2020-07-01
84,James A. Himes,JAHimes,Democrat,"CT is mourning the loss of Bridgeport native and American hero Larry Kramer. Kramer battled against HIV/AIDS and was a champion of LGBT rights. Dr. Fauci said it best: ""In American medicine, there are two eras. Before Larry and after Larry.” ",2020-05-28
85,Mazie K. Hirono,MazieHirono,Democrat,Regard for truth and science parted company from @realDonaldTrump long ago in his all-consuming desire to protect himself. Now he’s going to shut down the Coronavirus Task Force to deny a platform for Dr. Fauci and Dr. Birx to speak the truth about this pandemic. ,2020-05-05
86,Steny H. Hoyer,LeaderHoyer,Democrat,"I thank @EnergyCommerce for holding a hearing today with health officials on the Administration’s response to COVID-19. As Dr. Fauci discussed, we must do more testing as we respond to this crisis, not less. ",2020-06-23
87,Steny H. Hoyer,LeaderHoyer,Democrat,"Dr. Fauci is a man of extraordinary intellect and experience, and he is one of our great national assets in defeating the #coronavirus and saving lives. @POTUS should demonstrate leadership and listen to Dr. Fauci and medical experts on the steps we need to take.",2020-04-13
88,Steny H. Hoyer,LeaderHoyer,Democrat,It is unacceptable that the WH has blocked Dr. Fauci from testifying before @AppropsDems while allowing him to testify before the Senate. it is clear the President is playing partisan games.,2020-05-03
89,Steny H. Hoyer,LeaderHoyer,Democrat,"Dr. Fauci testified before the Senate that we are not headed in the right direction &amp; our country could see 100,000 cases a day if we do not course correct. Please wear a mask, social distance, &amp; join me in urging the Senate to take up the #HeroesAct now.",2020-07-01
90,Steny H. Hoyer,LeaderHoyer,Democrat,"Members should hear from Dr. Fauci so that we can follow the science and get our economy safely moving again. I urge House GOP, who say they want to come back to DC and have committees meet, to urge President Trump to reconsider and allow Dr. Fauci to testify before the House.",2020-05-03
91,Steny H. Hoyer,LeaderHoyer,Democrat,"Dr. Anthony Fauci has been very clear that this pandemic is far from over. We are still working to understand the coronavirus and defeat it. As we do so, we must ensure that minorities are not left behind in recovery efforts &amp; testing is widely available. ",2020-06-11
92,James R. Langevin,JimLangevin,Democrat,I applaud @NIAIDNews Director Tony Fauci for speaking truth to power. It’s outrageous that our country is failing to test for #coronavirus at the speed or scale of other countries. The Administration needs to address this immediately!,2020-03-13
93,James R. Langevin,JimLangevin,Democrat,"With new cases being diagnosed every day and people losing their lives in communities across the US, we are not in the clear. We will need continued leadership from health experts like Dr. Fauci to overcome this public health crisis &amp; keep Americans safe. ",2020-05-12
94,James Lankford,SenatorLankford,Republican,"I've spent the morning on the phone with @Mike_Pence, @stevenmnuchin1, Dr. Fauci, Dr. Birx &amp; @SeemaCMS -- talking through testing, treatments, how to help hospitals, rural providers &amp; how to help people who need it most right now.",2020-04-09
95,Rick Larsen,RepRickLarsen,Democrat,On call with Dr Anthony Fauci hosted by @NewDemCoalition this morning to understand issues of #COVID19 treatment using #remdesevir and other treatments and the the need for vaccine development.,2020-05-20
96,John B. Larson,RepJohnLarson,Democrat,"As public health experts and most notably, Dr. Fauci have stated, the COVID-19 pandemic is first and foremost a health crisis, which has devastated the economy. We must work to address both issues head on and at the same time. This is an enormous challenge.",2020-04-16
97,Robert E. Latta,BobLatta,Republican,"I asked @NIH Dr. Fauci to address how long coronavirus antibodies remain effective in fighting #COVID19: Dr. Fauci said if the antibody test is validated by NIH or @US_FDA, ""those antibodies serve to protect you against exposure &amp; infection after you're exposed..."" MORE ",2020-06-23
98,Barbara Lee,RepBarbaraLee,Democrat,Dr. Fauci is a national treasure. The knowledge and leadership that he and other health professionals bring to the table is what is going to get us through this crisis. Everyone needs to listen to his advice.,2020-04-13
99,Barbara Lee,RepBarbaraLee,Democrat,"Dr. Fauci is a committed doctor, scientist, and patriot. He has dedicated his life to saving others. It’s absolutely despicable that Trump’s fan base is attacking him for spreading the truth. ",2020-03-30
100,Barbara Lee,RepBarbaraLee,Democrat,"I’ve worked closely with Dr. Fauci for years – he's truly the best of the best. Pro tip: listen to his medical advice, not Trump’s. ",2020-03-24
101,Barbara Lee,RepBarbaraLee,Democrat,Dr. Fauci is working on the front lines to get our health care workers the best information to keep us safe – suggesting he’s pushing conspiracy theories is insulting and dangerous. ,2020-04-02
102,Ben Ray Luján,RepBenRayLujan,Democrat,"In recent days, I raised on a call with Dr. Anthony Fauci the importance of the administration doing more to support Indian Country as they work to overcome this crisis. He assured me they would.",2020-05-06
103,Stephen F. Lynch,RepStephenLynch,Democrat,The guidance of health experts like Dr. Fauci &amp; others is vital in our fight to effectively combat &amp; overcome the current pandemic. Unfortunately we live in a time when fact-based decision making &amp; robust scientific analysis are constantly under attack by the Trump administration,2020-05-27
104,Carolyn B. Maloney,RepMaloney,Democrat,"On March 11th, I chaired an @OversightDems hearing on #COVID19. It was the first time the American people heard directly from Dr. Fauci and medical experts about the severity of the pandemic &amp; it was a turning point in the battle against #coronavirus.",2020-04-27
105,Carolyn B. Maloney,RepMaloney,Democrat,"Trump is lashing out at Dr. Fauci for speaking the truth. In times of crisis, we need voices of reason and sound medical advice from experts. Silencing Fauci and other medical professionals only does a disservice to the American people. ",2020-04-13
106,Carolyn B. Maloney,RepMaloney,Democrat,Dr. Fauci is our nation's leading expert on infectious diseases &amp; I'm honored he's testifying at the @OversightDems hearing on the Trump Admin's response to the #CoronavirusOutbreak. The American people deserve transparency &amp; FACTS about #COVID19.,2020-03-10
107,Carolyn B. Maloney,RepMaloney,Democrat,WATCH: @peterbakernyt on @MeetThePress: testimony like Dr. Fauci’s at last week’s @OversightDems hearing is needed. As Chairwoman of @OversightDems I’m working to make sure key officials continue providing info to Congress &amp; the American ppl. https://twitter.com/politico/status/1240356061615448064,2020-03-19
108,Edward J. Markey,SenMarkey,Democrat,"We can save lives and safely re-open the economy quicker, but only if we listen to experts like Dr. Fauci and not deniers like Donald Trump.",2020-05-12
109,Edward J. Markey,SenMarkey,Democrat,"As Trump continuously rants & lies about #COVID19, trusted scientific voices like Dr. Fauci’s are needed more than ever. Fauci must be protected. I’m introducing legislation to prevent Trump from firing Fauci or other NIH directors for political reasons. ",2020-04-14
110,Edward J. Markey,SenMarkey,Democrat,"Dr. Tony Fauci and others warn there is not enough evidence that hydroxychloroquine effectively treats #COVID19, but we have enough evidence that Donald Trump’s relationship with the manufacturer is toxic. This conflict of interest must be investigated.",2020-04-07
111,Doris O. Matsui,DorisMatsui,Democrat,We were not prepared for this pandemic and we have paid the price with 120k+ American lives and counting. At today’s @EnergyCommerce hearing I asked Dr. Fauci how we can make sure we don’t repeat our mistakes when a second wave hits. ,2020-06-23
112,Kevin McCarthy,GOPLeader,Republican,Thank you @VP Pence for leading the charge against coronavirus in the U.S. Today’s visit with you and Dr. Fauci was very helpful for @HouseGOP as we are poised to pass the funding needed to contain and treat #COVID19.,2020-03-04
113,Michael T. McCaul,RepMcCaul,Republican,A message from @NIH’s Dr. Anthony Fauci on what do if you are sick: WATCH ↓ ,2020-03-19
114,James P. McGovern,RepMcGovern,Democrat,Here are three objective & science-backed sources you should be getting information from instead of @Mike_Pence: @CDCgov: https://www.cdc.gov/coronavirus/2019-ncov/index.html @MassDPH: https://www.mass.gov/info-details/covid-19-updates-and-information Dr. Fauci: https://www.wsj.com/articles/fauci-warns-of-coronavirus-resurgence-if-states-dont-adhere-to-safety-guidelines-11592338771,2020-06-17
115,Jerry McNerney,RepMcNerney,Democrat,"Within his own administration, President Trump's decision to withdraw from the @WHO has sparked concern. Yesterday, Dr. Fauci &amp; @CDCdi confirmed to me that their scientific expertise was not requested before the president's disastrous announcement.",2020-06-24
116,Gregory W. Meeks,RepGregoryMeeks,Democrat,"Trump must've gotten his medical degree from Trump University. Who are you going to believe, him or Dr. Fauci? ",2020-07-08
117,Gwen Moore,RepGwenMoore,Democrat,I trust Dr. Fauci. ,2020-04-03
118,Lisa Murkowski,LisaMurkowski,Republican,"In a Senate HELP Cmte hearing, I raised concerns with NIAID Director, Dr. Fauci, regarding the public’s mistrust of vaccines. I was pleased to hear efforts are underway to include community engagement program within trial sites &amp; to engage traditionally underserved populations. ",2020-07-02
119,Lisa Murkowski,LisaMurkowski,Republican,"The hearing also featured testimony from Dr. Anthony Fauci, Director of @NIAIDnews, @NIH, where he spoke on the realities that America could face if adequate testing, contact tracing, and proper health and safety guidelines are not put in place now.",2020-05-12
120,Patty Murray,PattyMurray,Democrat,"At today’s Senate hearing, I asked Dr. Fauci what would happen if we push to reopen too soon. His response: “The consequences could be really serious.” ",2020-05-12
